ptg001671l	1314790	strain	Basidiobolus meristosporus CBS 931.73	7	7	5	0.820	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001672l	1314790	strain	Basidiobolus meristosporus CBS 931.73	12	12	10	0.890	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001673l	1264859	subphylum	Entomophthoromycotina	6	6	3	0.590	Fungi;Zoopagomycota;uc_Entomophthoromycotina	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina
ptg001674l	1314790	strain	Basidiobolus meristosporus CBS 931.73	17	17	11	0.680	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001675l	1314790	strain	Basidiobolus meristosporus CBS 931.73	10	10	7	0.660	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001676l	1314790	strain	Basidiobolus meristosporus CBS 931.73	12	11	6	0.550	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001677l	112252	no rank	Fungi incertae sedis	3	3	3	1.000	Fungi;unknown;unknown	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis
ptg001678l	1314790	strain	Basidiobolus meristosporus CBS 931.73	5	5	5	1.000	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001679l	1314790	strain	Basidiobolus meristosporus CBS 931.73	8	8	6	0.750	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg001680l	1314790	strain	Basidiobolus meristosporus CBS 931.73	11	11	9	0.890	Fungi;Zoopagomycota;Basidiobolaceae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Entomophthoromycotina;c_Basidiobolomycetes;o_Basidiobolales;f_Basidiobolaceae;g_Basidiobolus;s_Basidiobolus meristosporus;-_Basidiobolus meristosporus CBS 931.73
ptg000233l	1913638	phylum	Zoopagomycota	107	106	50	0.550	Fungi;Zoopagomycota;uc_Zoopagomycota	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota
ptg000234l	4751	kingdom	Fungi	71	66	35	0.530	Fungi;uc_Fungi;uc_Fungi	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi
